Clave pintura,Date,Frequency_usage,Liters_Used,Material_Names,Frequency_area,Painted_Area_m2,Yield_m2_per_L,Seleccion,FYEILD,Litros
0486-DORIAN GRAY LOW GLOSS,2020-10-14 00:00:00,6,946.25,U0486_AKZO,12,14392.21728,15.20974086,1,15.20974086,946.25
0486-DORIAN GRAY LOW GLOSS,2020-10-15 00:00:00,11,1374.75,U0486_AKZO,17,16322.27378,11.87290327,1,11.87290327,1374.75
0486-DORIAN GRAY LOW GLOSS,2020-10-17 00:00:00,12,1892.5,U0486_AKZO,5,7266.85091,3.83981554,1,3.83981554,1892.5
0486-DORIAN GRAY LOW GLOSS,2020-10-18 00:00:00,10,1524,U0486_AKZO,14,18960.05042,12.44097797,1,12.44097797,1524
0486-DORIAN GRAY LOW GLOSS,2020-10-25 00:00:00,12,1921.15,U0486_AKZO,12,20384.46049,10.61055123,1,10.61055123,1921.15
0486-DORIAN GRAY LOW GLOSS,2020-10-31 00:00:00,16,2310.25,U0486_AKZO,15,20733.0175,8.974361002,1,8.974361002,2310.25
0486-DORIAN GRAY LOW GLOSS,2020-11-01 00:00:00,5,438.5,U0486_AKZO,1,1620.410396,3.695348679,1,3.695348679,438.5
0486-DORIAN GRAY LOW GLOSS,2020-11-04 00:00:00,8,1184.75,U0486_AKZO,10,12443.1194,10.50273847,1,10.50273847,1184.75
0486-DORIAN GRAY LOW GLOSS,2020-11-05 00:00:00,6,927,U0486_AKZO,8,9374.230789,10.11243882,1,10.11243882,927
0486-DORIAN GRAY LOW GLOSS,2020-11-08 00:00:00,9,1398.63,U0486_AKZO,15,17346.14799,12.40224219,1,12.40224219,1398.63
0486-DORIAN GRAY LOW GLOSS,2020-11-09 00:00:00,13,1850.26,U0486_AKZO,21,23894.52688,12.91414551,1,12.91414551,1850.26
0486-DORIAN GRAY LOW GLOSS,2020-11-13 00:00:00,17,2789.5,U0486_AKZO,15,17350.6975,6.220002689,1,6.220002689,2789.5
0486-DORIAN GRAY LOW GLOSS,2020-11-14 00:00:00,15,2499,U0486_AKZO,7,8618.411848,3.448744237,1,3.448744237,2499
0486-DORIAN GRAY LOW GLOSS,2020-11-15 00:00:00,7,1324.75,U0486_AKZO,2,3399.068389,2.56581875,1,2.56581875,1324.75
0486-DORIAN GRAY LOW GLOSS,2020-11-16 00:00:00,2,378.5,U0486_AKZO,4,3932.53,10.38977543,1,10.38977543,378.5
0486-DORIAN GRAY LOW GLOSS,2020-11-17 00:00:00,14,2081.75,U0486_AKZO,16,19319.17026,9.280254716,1,9.280254716,2081.75
0486-DORIAN GRAY LOW GLOSS,2020-11-21 00:00:00,5,786.25,U0486_AKZO,6,7795.217114,9.914425582,1,9.914425582,786.25
0486-DORIAN GRAY LOW GLOSS,2020-11-22 00:00:00,5,847,U0486_AKZO,2,2159.934,2.550099174,1,2.550099174,847
0486-DORIAN GRAY LOW GLOSS,2020-11-28 00:00:00,,,,1,1093.662,,1,0.035570511,835.348
0486-DORIAN GRAY LOW GLOSS,2020-11-29 00:00:00,9,1434,U0486_AKZO,13,15890.68935,11.08137333,1,11.08137333,1434
0486-DORIAN GRAY LOW GLOSS,2020-12-04 00:00:00,,,,2,1960.095,,1,7.415368175,859.1075
0486-DORIAN GRAY LOW GLOSS,2020-12-05 00:00:00,7,1021.16,U0486_AKZO,10,14108.6303,13.81627786,1,13.81627786,1021.16
0486-DORIAN GRAY LOW GLOSS,2020-12-11 00:00:00,4,688.87,U0486_AKZO,4,5198.421169,7.54630216,1,7.54630216,688.87
0486-DORIAN GRAY LOW GLOSS,2020-12-12 00:00:00,8,976.25,U0486_AKZO,6,6356.685,6.511329065,1,6.511329065,976.25
0486-DORIAN GRAY LOW GLOSS,2020-12-13 00:00:00,6,1116.25,U0486_AKZO,9,11981.03013,10.73328567,1,10.73328567,1116.25
